day,count
2025-08-19,507230
2025-08-20,613537
2025-08-21,577432
2025-08-22,629996
2025-08-23,682221
2025-08-24,587531
2025-08-25,505656
2025-08-26,507163
2025-08-27,533530
2025-08-28,577293
2025-08-29,635833
2025-08-30,665702
2025-08-31,611868
2025-09-01,501250
2025-09-02,534553
2025-09-03,563636
2025-09-04,614713
2025-09-05,679439
2025-09-06,730361
2025-09-07,617477
2025-09-08,537585
2025-09-09,556206
2025-09-10,615179
2025-09-11,630434
2025-09-12,691921
2025-09-13,753769
2025-09-14,655592
2025-09-15,560774
2025-09-16,571956
2025-09-17,612172
2025-09-18,632918
2025-09-19,693702
2025-09-20,732512
2025-09-21,630101
2025-09-22,518026
2025-09-23,495548
2025-09-24,554294
2025-09-25,639792
2025-09-26,681117
2025-09-27,745550
2025-09-28,635324
2025-09-29,538471
2025-09-30,556828
2025-10-01,572417
2025-10-02,581184
2025-10-03,681537
2025-10-04,736238
2025-10-05,626369
2025-10-06,544546
2025-10-07,563006
2025-10-08,631856
2025-10-09,652053
2025-10-10,715344
2025-10-11,770615
2025-10-12,685477
2025-10-13,567317
2025-10-14,585450
2025-10-15,613918
2025-10-16,667265
2025-10-17,729597
2025-10-18,762389
2025-10-19,659616
2025-10-20,560738
2025-10-21,577176
2025-10-22,615226
2025-10-23,658473
2025-10-24,733014
2025-10-25,792450
2025-10-26,673871
2025-10-27,570136
2025-10-28,589977
2025-10-29,623773
2025-10-30,749380
2025-10-31,823995
2025-11-01,882305
2025-11-02,662420
2025-11-03,569001
2025-11-04,567632
2025-11-05,610637
2025-11-06,668139
2025-11-07,722254
2025-11-08,755652
2025-11-09,660029
2025-11-10,613421
2025-11-11,592055
2025-11-12,619134
2025-11-13,675954
2025-11-14,744426
2025-11-15,801725
2025-11-16,681695
2025-11-17,601148
2025-11-18,605708
2025-11-19,658848
2025-11-20,681479
2025-11-21,747609
2025-11-22,794172
2025-11-23,667678
2025-11-24,566642
2025-11-25,636849
2025-11-26,636282
2025-11-27,625887
2025-11-28,579884
2025-11-29,612282
2025-11-30,595606
2025-12-01,584000
2025-12-02,684289
2025-12-03,649394
2025-12-04,725379
2025-12-05,827395
2025-12-06,833599
2025-12-07,712791
2025-12-08,667184
2025-12-09,680687
2025-12-10,700057
2025-12-11,746863
2025-12-12,845064
2025-12-13,887777
2025-12-14,762473
2025-12-15,682672
2025-12-16,675109
2025-12-17,676736
2025-12-18,693319
2025-12-19,835871
2025-12-20,782992
2025-12-21,670126
2025-12-22,591890
2025-12-23,612477
2025-12-24,615836
2025-12-25,501610
2025-12-26,523602
2025-12-27,528763
2025-12-28,537615
2025-12-29,538083
2025-12-30,582818
2025-12-31,740950
